['1101', '32.90', '32.30', '32.50', '32.70', '19151', 'tse']
['1102', '42.15', '41.50', '41.50', '42.15', '5455', 'tse']
['1103', '17.80', '17.40', '17.40', '17.80', '403', 'tse']
['1104', '33.80', '33.05', '33.30', '33.30', '2144', 'tse']
['1108', '17.55', '16.50', '16.55', '17.05', '8292', 'tse']
['1109', '19.50', '19.15', '19.25', '19.40', '360', 'tse']
['1110', '18.90', '18.15', '18.25', '18.65', '329', 'tse']
['1201', '18.60', '18.40', '18.50', '18.60', '302', 'tse']
['1203', '48.50', '47.50', '47.70', '47.80', '31', 'tse']
['1210', '56.20', '55.30', '55.60', '55.70', '3213', 'tse']
['1213', '7.19', '7.09', '7.19', '7.11', '27', 'tse']
['1215', '105.50', '102.50', '104.50', '104.50', '423', 'tse']
['1216', '77.20', '75.10', '75.10', '76.80', '12651', 'tse']
['1217', '12.15', '11.85', '11.85', '12.15', '3195', 'tse']
['1218', '21.10', '20.65', '20.80', '20.95', '601', 'tse']
['1219', '18.85', '18.55', '18.65', '18.80', '466', 'tse']
['1220', '15.05', '14.75', '14.85', '15.00', '242', 'tse']
['1225', '57.50', '57.00', '57.10', '57.30', '32', 'tse']
['1227', '37.65', '37.30', '37.60', '37.55', '618', 'tse']
['1229', '66.30', '65.60', '66.30', '66.10', '1161', 'tse']
['1231', '97.60', '95.30', '95.50', '97.60', '183', 'tse']
['1232', '145.00', '144.50', '144.50', '144.50', '44', 'tse']
['1233', '33.25', '33.15', '33.25', '33.25', '13', 'tse']
['1234', '41.35', '41.10', '41.10', '41.25', '151', 'tse']
['1235', '82.10', '81.30', '81.70', '82.10', '20', 'tse']
['1236', '23.20', '23.10', '23.20', '23.20', '18', 'tse']
['1240', '51.40', '51.00', '51.40', '51.10', '12', 'otc']
['1256', '216.50', '214.00', '215.00', '216.50', '13', 'tse']
['1259', '74.70', '73.70', '74.00', '74.00', '41', 'otc']
['1264', '304.00', '303.00', '303.00', '303.00', '8', 'otc']
['1268', '150.50', '147.00', '147.00', '149.00', '83', 'otc']
['1301', '68.30', '67.20', '67.60', '68.10', '9175', 'tse']
['1303', '55.90', '54.70', '54.90', '55.80', '6719', 'tse']
['1304', '16.40', '16.05', '16.20', '16.35', '1955', 'tse']
['1305', '18.20', '17.95', '18.15', '18.15', '1346', 'tse']
['1307', '29.25', '28.55', '28.55', '28.95', '310', 'tse']
['1308', '18.90', '18.65', '18.90', '18.90', '862', 'tse']
['1309', '15.35', '15.15', '15.20', '15.35', '268', 'tse']
['1310', '12.95', '12.75', '12.90', '12.95', '418', 'tse']
['1312', '13.15', '12.80', '13.00', '13.10', '2660', 'tse']
['1313', '13.50', '13.25', '13.35', '13.45', '874', 'tse']
['1314', '9.97', '9.51', '9.60', '9.93', '35936', 'tse']
['1315', '71.00', '70.90', '71.00', '70.90', '24', 'tse']
['1316', '18.25', '17.50', '17.80', '18.00', '7389', 'tse']
['1319', '132.50', '126.00', '130.00', '127.00', '4495', 'tse']
['1321', '37.60', '36.70', '36.95', '37.20', '458', 'tse']
['1323', '31.15', '30.95', '31.00', '31.15', '23', 'tse']
['1324', '15.20', '14.85', '15.00', '15.10', '119', 'tse']
['1325', '30.25', '27.85', '28.20', '29.05', '919', 'tse']
['1326', '54.00', '53.30', '53.50', '53.60', '5089', 'tse']
['1336', '19.55', '19.25', '19.25', '19.40', '34', 'otc']
['1337', '7.27', '7.12', '7.18', '7.24', '289', 'tse']
['1338', '34.40', '33.55', '33.90', '34.10', '303', 'tse']
['1339', '74.50', '70.40', '71.20', '71.90', '949', 'tse']
['1340', '10.05', '9.95', '9.95', '10.00', '53', 'tse']
['1341', '63.30', '62.90', '63.00', '63.30', '36', 'tse']
['1342', '126.50', '123.50', '125.50', '125.50', '267', 'tse']
['1402', '32.15', '31.70', '31.95', '31.80', '5711', 'tse']
['1409', '16.45', '16.00', '16.15', '16.40', '4152', 'tse']
['1410', '35.00', '34.65', '34.80', '34.90', '30', 'tse']
['1413', '9.10', '8.96', '9.02', '9.01', '97', 'tse']
['1414', '18.55', '18.25', '18.50', '18.55', '156', 'tse']
['1416', '12.60', '12.30', '12.40', '12.50', '1024', 'tse']
['1417', '11.20', '11.05', '11.15', '11.20', '306', 'tse']
['1418', '32.90', '32.30', '32.80', '32.40', '90', 'tse']
['1419', '47.60', '46.30', '46.40', '47.40', '88', 'tse']
['1423', '31.15', '30.90', '30.90', '31.15', '52', 'tse']
['1432', '17.90', '17.65', '17.90', '17.85', '183', 'tse']
['1434', '22.25', '22.10', '22.20', '22.15', '953', 'tse']
['1435', '48.00', '47.00', '47.25', '48.00', '13', 'tse']
['1436', '115.00', '110.00', '110.50', '115.00', '443', 'tse']
['1437', '32.45', '31.90', '32.10', '32.40', '198', 'tse']
['1438', '55.50', '52.40', '52.40', '55.50', '553', 'tse']
['1439', '27.55', '26.05', '26.05', '27.05', '92', 'tse']
['1440', '15.85', '15.50', '15.60', '15.85', '1283', 'tse']
['1441', '13.50', '13.10', '13.20', '13.20', '96', 'tse']
['1442', '49.80', '48.65', '49.25', '49.80', '1792', 'tse']
['1443', '31.60', '28.70', '28.70', '31.60', '320', 'tse']
['1444', '9.41', '9.07', '9.10', '9.34', '2161', 'tse']
['1445', '22.50', '22.00', '22.20', '22.45', '772', 'tse']
['1446', '34.90', '34.45', '34.55', '34.80', '98', 'tse']
['1447', '7.91', '7.72', '7.79', '7.86', '692', 'tse']
['1449', '18.45', '18.15', '18.20', '18.45', '161', 'tse']
['1451', '20.25', '19.90', '19.90', '20.20', '196', 'tse']
['1452', '16.95', '16.55', '16.65', '16.80', '194', 'tse']
['1453', '23.95', '20.60', '21.20', '23.95', '2563', 'tse']
['1454', '15.70', '15.30', '15.40', '15.40', '153', 'tse']
['1455', '12.60', '12.35', '12.60', '12.55', '2052', 'tse']
['1456', '21.20', '19.60', '19.60', '20.50', '417', 'tse']
['1457', '20.70', '20.00', '20.20', '20.30', '628', 'tse']
['1459', '9.75', '9.66', '9.75', '9.71', '135', 'tse']
['1460', '7.90', '7.67', '7.76', '7.79', '490', 'tse']
['1463', '18.25', '18.00', '18.15', '18.15', '90', 'tse']
['1464', '13.15', '12.90', '13.00', '13.00', '266', 'tse']
['1465', '15.10', '14.90', '15.05', '15.05', '151', 'tse']
['1466', '12.55', '12.40', '12.40', '12.50', '53', 'tse']
['1467', '11.80', '11.55', '11.55', '11.60', '4937', 'tse']
['1468', '12.25', '11.95', '12.25', '12.25', '77', 'tse']
['1470', '19.60', '19.45', '19.45', '19.60', '3', 'tse']
['1471', '15.40', '14.95', '15.10', '15.25', '559', 'tse']
['1472', '83.00', '76.70', '76.70', '81.20', '315', 'tse']
['1473', '30.65', '29.70', '30.00', '30.65', '368', 'tse']
['1474', '13.25', '12.90', '13.10', '13.00', '487', 'tse']
['1475', '55.50', '53.50', '53.50', '54.90', '427', 'tse']
['1476', '502.00', '485.00', '495.50', '500.00', '936', 'tse']
['1477', '380.50', '373.00', '373.00', '376.00', '953', 'tse']
['1503', '354.00', '329.50', '336.00', '333.50', '28700', 'tse']
['1504', '62.70', '59.70', '62.00', '61.00', '69344', 'tse']
['1506', '16.45', '16.20', '16.35', '16.40', '201', 'tse']
['1512', '10.35', '10.05', '10.10', '10.20', '35', 'tse']
['1513', '214.50', '201.50', '208.50', '203.50', '92574', 'tse']
['1514', '181.00', '168.50', '177.00', '175.00', '7219', 'tse']
['1515', '51.10', '49.60', '49.65', '50.10', '1822', 'tse']
['1516', '17.10', '16.95', '17.00', '17.10', '58', 'tse']
['1517', '16.10', '15.55', '15.70', '16.00', '439', 'tse']
['1519', '984.00', '933.00', '960.00', '955.00', '13563', 'tse']
['1521', '37.85', '37.00', '37.80', '37.65', '68', 'tse']
['1522', '52.30', '51.00', '51.80', '51.10', '2108', 'tse']
['1524', '36.65', '33.55', '33.70', '36.05', '7806', 'tse']
['1525', '70.50', '68.60', '68.60', '70.30', '39', 'tse']
['1526', '34.40', '34.00', '34.15', '34.30', '68', 'tse']
['1527', '41.50', '41.15', '41.20', '41.35', '159', 'tse']
['1528', '12.65', '12.35', '12.60', '12.45', '661', 'tse']
['1529', '40.00', '37.85', '37.90', '38.15', '24776', 'tse']
['1530', '32.55', '32.00', '32.35', '32.30', '119', 'tse']
['1531', '13.60', '13.45', '13.50', '13.50', '136', 'tse']
['1532', '43.30', '41.15', '41.60', '43.05', '8362', 'tse']
['1533', '46.35', '45.05', '45.20', '45.60', '137', 'tse']
['1535', '91.30', '84.20', '85.00', '91.30', '5630', 'tse']
['1536', '54.80', '52.00', '52.00', '53.90', '3497', 'tse']
['1537', '139.00', '137.50', '137.50', '138.00', '149', 'tse']
['1538', '17.50', '17.00', '17.50', '17.00', '32', 'tse']
['1539', '24.30', '24.05', '24.05', '24.30', '80', 'tse']
['1540', '20.80', '20.10', '20.55', '20.55', '1666', 'tse']
['1541', '32.30', '31.80', '32.20', '32.20', '13', 'tse']
['1558', '98.50', '97.80', '97.80', '98.40', '30', 'tse']
['1560', '263.00', '255.00', '256.00', '258.00', '2243', 'tse']
['1565', '185.00', '182.50', '185.00', '183.50', '88', 'otc']
['1568', '29.30', '28.80', '28.90', '28.80', '258', 'tse']
['1569', '24.20', '23.75', '24.05', '24.00', '221', 'otc']
['1570', '28.70', '27.75', '28.00', '28.05', '1394', 'otc']
['1580', '152.50', '151.50', '151.50', '152.50', '76', 'otc']
['1582', '91.20', '89.30', '90.00', '90.60', '1802', 'tse']
['1583', '74.00', '72.20', '72.20', '74.00', '21', 'tse']
['1584', '36.80', '35.30', '36.00', '36.10', '6744', 'otc']
['1586', '32.45', '31.75', '32.45', '31.85', '93', 'otc']
['1587', '51.70', '47.00', '50.00', '49.50', '3371', 'tse']
['1589', '51.10', '49.05', '49.20', '50.20', '1118', 'tse']
['1590', '1,125.00', '1,105.00', '1,115.00', '1,110.00', '376', 'tse']
['1591', '64.20', '61.60', '62.30', '63.90', '453', 'otc']
['1593', '45.50', '45.30', '45.50', '45.50', '35', 'otc']
['1595', '35.15', '34.90', '34.90', '35.15', '14', 'otc']
['1597', '67.60', '66.00', '67.10', '66.60', '599', 'tse']
['1598', '31.00', '30.20', '30.20', '30.80', '130', 'tse']
['1599', '31.90', '31.70', '31.70', '31.85', '15', 'otc']
['1603', '51.20', '47.55', '47.55', '51.20', '20921', 'tse']
['1604', '29.60', '28.60', '28.70', '29.50', '1637', 'tse']
['1605', '42.00', '40.00', '40.65', '40.40', '147967', 'tse']
['1608', '44.45', '41.50', '42.00', '44.45', '98802', 'tse']
['1609', '64.70', '62.00', '62.70', '64.70', '161226', 'tse']
['1611', '19.40', '18.10', '18.10', '18.80', '15860', 'tse']
['1612', '44.65', '41.00', '41.80', '44.65', '71787', 'tse']
['1614', '40.30', '39.15', '39.40', '40.10', '606', 'tse']
['1615', '69.10', '63.20', '63.30', '68.30', '12560', 'tse']
['1616', '25.70', '24.05', '24.50', '25.70', '9687', 'tse']
['1617', '27.25', '26.50', '26.90', '27.25', '7026', 'tse']
['1618', '58.40', '57.10', '58.00', '58.40', '10858', 'tse']
['1626', '16.05', '15.95', '15.95', '16.05', '227', 'tse']
['1701', '21.80', '21.45', '21.80', '21.70', '617', 'tse']
['1702', '56.70', '55.30', '55.60', '56.20', '838', 'tse']
['1707', '159.50', '155.00', '156.50', '159.00', '335', 'tse']
['1708', '30.65', '30.15', '30.30', '30.45', '394', 'tse']
['1709', '19.40', '19.15', '19.30', '19.40', '283', 'tse']
['1710', '17.50', '17.15', '17.35', '17.50', '773', 'tse']
['1711', '20.20', '20.00', '20.00', '20.10', '620', 'tse']
['1712', '40.00', '39.10', '39.20', '40.00', '1390', 'tse']
['1713', '43.90', '43.10', '43.25', '43.50', '107', 'tse']
['1714', '8.83', '8.73', '8.79', '8.83', '802', 'tse']
['1717', '31.25', '30.95', '31.05', '31.15', '1155', 'tse']
['1718', '7.38', '7.15', '7.22', '7.34', '2573', 'tse']
['1720', '62.20', '61.50', '62.00', '62.00', '459', 'tse']
['1721', '14.55', '14.30', '14.45', '14.40', '346', 'tse']
['1722', '62.70', '61.60', '61.60', '62.20', '4505', 'tse']
['1723', '113.50', '111.50', '113.00', '113.00', '388', 'tse']
['1725', '36.10', '33.85', '34.85', '34.25', '1950', 'tse']
['1726', '78.20', '77.60', '78.10', '78.00', '18', 'tse']
['1727', '30.25', '29.80', '29.85', '29.80', '859', 'tse']
['1730', '56.30', '56.10', '56.20', '56.20', '25', 'tse']
['1731', '24.50', '24.15', '24.40', '24.35', '293', 'tse']
