['1101', '33.60', '32.00', '32.80', '32.00', '37583', 'tse']
['1102', '42.40', '41.10', '41.60', '41.15', '4833', 'tse']
['1103', '18.20', '17.40', '17.65', '17.45', '1082', 'tse']
['1104', '33.00', '31.95', '32.60', '32.05', '4145', 'tse']
['1108', '16.40', '15.90', '16.15', '15.90', '2848', 'tse']
['1109', '19.60', '19.40', '19.55', '19.45', '787', 'tse']
['1110', '18.15', '17.80', '18.00', '18.00', '150', 'tse']
['1201', '19.00', '18.80', '19.00', '18.85', '271', 'tse']
['1203', '--', '--', '--', '--', '0', 'tse']
['1210', '57.80', '57.30', '57.60', '57.60', '1438', 'tse']
['1213', '7.18', '7.04', '7.18', '7.11', '112', 'tse']
['1215', '114.00', '112.00', '114.00', '112.00', '411', 'tse']
['1216', '75.70', '75.20', '75.30', '75.30', '6890', 'tse']
['1217', '12.00', '11.90', '11.95', '11.90', '689', 'tse']
['1218', '21.70', '21.35', '21.60', '21.55', '895', 'tse']
['1219', '18.75', '18.65', '18.75', '18.65', '208', 'tse']
['1220', '15.35', '15.15', '15.35', '15.25', '121', 'tse']
['1225', '56.30', '56.00', '56.30', '56.00', '7', 'tse']
['1227', '38.30', '38.05', '38.30', '38.25', '438', 'tse']
['1229', '67.60', '67.10', '67.40', '67.30', '538', 'tse']
['1231', '98.40', '97.00', '98.40', '97.50', '176', 'tse']
['1232', '146.50', '146.00', '146.50', '146.00', '41', 'tse']
['1233', '33.80', '33.80', '33.80', '33.80', '8', 'tse']
['1234', '41.85', '41.30', '41.60', '41.80', '113', 'tse']
['1235', '82.00', '81.30', '81.30', '82.00', '2', 'tse']
['1236', '23.75', '23.45', '23.55', '23.45', '21', 'tse']
['1240', '52.80', '52.50', '52.50', '52.50', '28', 'otc']
['1256', '241.00', '240.00', '240.00', '241.00', '5', 'tse']
['1259', '75.00', '75.00', '75.00', '75.00', '1', 'otc']
['1264', '305.00', '303.00', '305.00', '304.00', '10', 'otc']
['1268', '154.50', '153.00', '153.50', '153.50', '35', 'otc']
['1301', '70.70', '69.80', '70.30', '70.00', '6577', 'tse']
['1303', '57.40', '56.80', '57.00', '56.80', '6643', 'tse']
['1304', '16.15', '15.95', '16.10', '15.95', '1442', 'tse']
['1305', '18.90', '18.45', '18.90', '18.55', '1311', 'tse']
['1307', '30.00', '29.15', '29.45', '29.95', '990', 'tse']
['1308', '19.45', '19.25', '19.40', '19.35', '522', 'tse']
['1309', '15.85', '15.45', '15.70', '15.50', '242', 'tse']
['1310', '13.40', '13.25', '13.40', '13.30', '716', 'tse']
['1312', '13.35', '13.15', '13.30', '13.20', '977', 'tse']
['1313', '13.35', '13.15', '13.35', '13.15', '681', 'tse']
['1314', '9.63', '9.47', '9.60', '9.48', '11482', 'tse']
['1315', '73.40', '73.00', '73.40', '73.20', '14', 'tse']
['1316', '19.85', '19.30', '19.80', '19.45', '7687', 'tse']
['1319', '123.50', '120.00', '123.00', '120.50', '3094', 'tse']
['1321', '34.75', '34.60', '34.75', '34.65', '41', 'tse']
['1323', '31.10', '30.90', '30.95', '31.10', '37', 'tse']
['1324', '14.65', '14.30', '14.55', '14.35', '207', 'tse']
['1325', '29.45', '28.80', '29.45', '28.95', '324', 'tse']
['1326', '55.80', '55.00', '55.80', '55.10', '5103', 'tse']
['1336', '20.00', '19.50', '19.95', '19.55', '233', 'otc']
['1337', '7.15', '7.10', '7.13', '7.12', '200', 'tse']
['1338', '36.35', '35.55', '35.90', '35.95', '73', 'tse']
['1339', '73.50', '69.30', '69.80', '71.60', '487', 'tse']
['1340', '10.20', '10.00', '10.20', '10.10', '63', 'tse']
['1341', '64.20', '63.40', '64.20', '63.50', '21', 'tse']
['1342', '140.00', '137.00', '138.50', '138.00', '526', 'tse']
['1402', '33.05', '32.55', '33.05', '32.60', '4501', 'tse']
['1409', '15.85', '15.70', '15.80', '15.80', '1113', 'tse']
['1410', '36.00', '35.55', '35.80', '35.80', '61', 'tse']
['1413', '9.02', '8.92', '9.00', '9.02', '27', 'tse']
['1414', '19.80', '19.40', '19.80', '19.45', '316', 'tse']
['1416', '12.15', '12.05', '12.15', '12.10', '499', 'tse']
['1417', '11.40', '11.25', '11.40', '11.35', '280', 'tse']
['1418', '33.50', '32.70', '32.75', '33.40', '35', 'tse']
['1419', '46.20', '46.00', '46.20', '46.20', '4', 'tse']
['1423', '31.25', '31.05', '31.10', '31.15', '30', 'tse']
['1432', '18.30', '18.00', '18.30', '18.00', '439', 'tse']
['1434', '22.40', '22.15', '22.40', '22.20', '884', 'tse']
['1435', '--', '--', '--', '--', '0', 'tse']
['1436', '109.00', '106.00', '109.00', '108.50', '351', 'tse']
['1437', '32.35', '32.00', '32.05', '32.25', '121', 'tse']
['1438', '48.90', '47.80', '48.20', '48.55', '120', 'tse']
['1439', '27.30', '25.75', '26.40', '27.20', '127', 'tse']
['1440', '15.70', '15.40', '15.60', '15.50', '877', 'tse']
['1441', '13.50', '12.95', '13.35', '13.20', '46', 'tse']
['1442', '44.85', '44.10', '44.65', '44.80', '927', 'tse']
['1443', '29.15', '28.85', '29.15', '29.00', '25', 'tse']
['1444', '9.12', '9.09', '9.12', '9.10', '744', 'tse']
['1445', '22.20', '21.75', '21.90', '21.85', '796', 'tse']
['1446', '33.80', '33.50', '33.70', '33.70', '109', 'tse']
['1447', '8.04', '7.89', '7.98', '7.92', '1472', 'tse']
['1449', '19.05', '18.60', '19.00', '18.85', '377', 'tse']
['1451', '19.30', '19.15', '19.25', '19.30', '53', 'tse']
['1452', '16.70', '16.50', '16.50', '16.65', '342', 'tse']
['1453', '15.85', '15.30', '15.85', '15.30', '125', 'tse']
['1454', '16.05', '15.65', '16.00', '16.05', '46', 'tse']
['1455', '15.00', '14.40', '14.80', '14.55', '2809', 'tse']
['1456', '19.80', '19.40', '19.60', '19.80', '60', 'tse']
['1457', '20.25', '20.00', '20.25', '20.10', '459', 'tse']
['1459', '9.84', '9.75', '9.80', '9.84', '33', 'tse']
['1460', '8.62', '8.49', '8.49', '8.49', '2162', 'tse']
['1463', '18.45', '18.20', '18.35', '18.35', '25', 'tse']
['1464', '12.95', '12.90', '12.90', '12.90', '96', 'tse']
['1465', '15.30', '15.05', '15.10', '15.25', '86', 'tse']
['1466', '13.20', '13.05', '13.20', '13.05', '115', 'tse']
['1467', '11.35', '10.85', '10.85', '11.25', '6740', 'tse']
['1468', '13.80', '13.50', '13.60', '13.80', '52', 'tse']
['1470', '21.25', '20.45', '20.45', '20.50', '27', 'tse']
['1471', '16.10', '15.85', '16.05', '16.00', '431', 'tse']
['1472', '74.60', '73.20', '74.60', '73.50', '72', 'tse']
['1473', '31.40', '30.65', '31.10', '30.80', '292', 'tse']
['1474', '12.55', '12.45', '12.45', '12.50', '102', 'tse']
['1475', '50.30', '49.80', '50.30', '50.10', '35', 'tse']
['1476', '551.00', '544.00', '551.00', '546.00', '471', 'tse']
['1477', '380.00', '374.50', '378.50', '374.50', '1284', 'tse']
